image_idx,label,grad_norm
0,5,0.9739987847461825
1,0,1.0099921438363137
2,4,1.0771451960471918
3,1,0.776829212821413
4,9,0.9983423890348836
5,2,0.929666926006153
7,3,0.960224622668149
8,1,0.7042706975524613
9,4,0.9046295352983351
10,3,0.9447757064817355
11,5,0.8328750936924123
12,3,0.9646345386414247
13,6,0.9498030070063844
14,1,0.83641144248458
15,7,0.9455754832758867
16,2,1.3669293496757695
17,8,0.8896794654452028
18,6,0.7736589180010829
19,9,0.9398065204585532
20,4,1.2132146195718168
21,0,1.032428443745513
22,9,0.8780470956662846
23,1,0.7973024892086213
24,1,1.1075784906694006
25,2,1.1441560649471856
26,4,0.8893970225255764
27,3,1.3466649996104838
28,2,1.2092040369933692
29,7,0.8017275036134826
30,3,0.7527493376663081
31,8,1.0032589298479417
32,6,1.387650789729116
33,9,0.8923013369513134
34,0,0.9558545874823354
35,5,0.8989915719881246
36,6,0.9265383990171415
37,0,1.1382368354471673
38,7,0.972740614397949
39,6,1.2030221102622571
40,1,0.7244944307030033
41,8,0.8089384812199752
42,7,0.7969188315650473
44,3,1.1133702722767564
45,9,0.9821453320143911
46,8,0.9855162091099257
47,5,0.8984535138517009
48,9,0.9374302256058316
49,3,0.994431247791266
50,3,1.0638696353494936
51,0,1.377779715136314
52,7,0.9099095512608121
53,4,0.9645177582389877
54,9,1.0761099377643235
55,8,0.8821208562957757
56,0,1.5765774401024142
57,9,0.8545492139450288
58,4,0.971038204147952
59,1,0.7647682562941767
60,4,1.0857971419273238
61,4,0.8233625219554509
63,0,1.236143421487441
64,4,1.1597626803871661
65,5,0.8163262343884007
68,0,0.8436830709988408
69,0,1.0890806906277866
70,1,1.0153910625849853
71,7,1.493003909642042
72,1,0.8216505807596558
73,6,0.861628426282485
74,3,1.6219755132220022
75,0,1.0012988270487384
76,2,1.022172799153836
77,1,0.7644728285621515
78,1,0.8841921206078841
79,7,1.4781272823585325
80,9,0.9459416808193978
81,0,0.9967634228718065
82,2,1.0784997933789326
84,7,1.0115942264122006
85,8,0.9580645723511916
86,3,0.8396930583031631
87,9,1.3236876143629759
88,0,1.320588292562848
89,4,0.9585189441116109
90,6,0.9791373229978615
91,7,2.338008784979426
92,4,1.4045642624193424
93,6,1.2708299272155208
94,8,0.8766230081297534
95,0,1.056726553242193
96,7,1.1089062819103601
97,8,0.9840412884430736
98,3,1.0015299724211604
99,1,0.659363885536813
100,5,0.938527715977853
101,7,0.8559169126795284
102,1,0.8767837343435733
103,7,0.8996344958262744
104,1,0.8837311535126144
105,1,0.829214770343758
106,6,0.9042830575957972
107,3,1.0054020297355386
109,2,0.9984898327083557
110,9,0.9815235365947721
111,3,1.3759297959622985
112,1,0.6556679216285306
114,0,1.2482287566504633
115,4,0.963137489757076
116,9,0.991177339124793
117,2,1.0880890334520574
